gender,province,education,income_family,n
Female,Newfoundland and Labrador,Below high school,"$125,000 and more",13
Female,Newfoundland and Labrador,Below high school,"$25,000 to $49,999",36
Female,Newfoundland and Labrador,Below high school,"$50,000 to $74,999",21
Female,Newfoundland and Labrador,Below high school,"$75,000 to $99,999",8
Female,Newfoundland and Labrador,Below high school,"Less than $25,000",43
Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",5
Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$125,000 and more",18
Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",30
Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",23
Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",14
Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"Less than $25,000",29
Female,Newfoundland and Labrador,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",24
Female,Newfoundland and Labrador,"Technical, community college, CEGEP, College Classique","$125,000 and more",51
Female,Newfoundland and Labrador,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",40
Female,Newfoundland and Labrador,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",30
Female,Newfoundland and Labrador,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",33
Female,Newfoundland and Labrador,"Technical, community college, CEGEP, College Classique","Less than $25,000",25
Female,Nova Scotia,Above bachelor,"$100,000 to $ 124,999",7
Female,Nova Scotia,Above bachelor,"$125,000 and more",29
Female,Nova Scotia,Above bachelor,"$25,000 to $49,999",9
Female,Nova Scotia,Above bachelor,"$50,000 to $74,999",13
Female,Nova Scotia,Above bachelor,"$75,000 to $99,999",7
Female,Nova Scotia,Above bachelor,"Less than $25,000",2
Female,Nova Scotia,Bachelor's degree,"$100,000 to $ 124,999",15
Female,Nova Scotia,Bachelor's degree,"$125,000 and more",35
Female,Nova Scotia,Bachelor's degree,"$25,000 to $49,999",24
Female,Nova Scotia,Bachelor's degree,"$50,000 to $74,999",24
Female,Nova Scotia,Bachelor's degree,"$75,000 to $99,999",26
Female,Nova Scotia,Bachelor's degree,"Less than $25,000",8
Female,Nova Scotia,Below bachelor,"$100,000 to $ 124,999",2
Female,Nova Scotia,Below bachelor,"$125,000 and more",3
Female,Nova Scotia,Below bachelor,"$25,000 to $49,999",6
Female,Nova Scotia,Below bachelor,"$50,000 to $74,999",7
Female,Nova Scotia,Below bachelor,"$75,000 to $99,999",4
Female,Nova Scotia,Below bachelor,"Less than $25,000",4
Female,Nova Scotia,Below high school,"$100,000 to $ 124,999",3
Female,Nova Scotia,Below high school,"$125,000 and more",6
Female,Nova Scotia,Below high school,"$25,000 to $49,999",43
Female,Nova Scotia,Below high school,"$50,000 to $74,999",12
Female,Nova Scotia,Below high school,"$75,000 to $99,999",9
Female,Nova Scotia,Below high school,"Less than $25,000",38
Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",6
Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$125,000 and more",23
Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",59
Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",20
Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",23
Female,Nova Scotia,High school diploma or a high school equivalency certificate,"Less than $25,000",37
Female,Nova Scotia,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",21
Female,Nova Scotia,"Technical, community college, CEGEP, College Classique","$125,000 and more",34
Female,Nova Scotia,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",76
Female,Nova Scotia,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",47
Female,Nova Scotia,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",38
Female,Nova Scotia,"Technical, community college, CEGEP, College Classique","Less than $25,000",29
Female,Ontario,Above bachelor,"$100,000 to $ 124,999",43
Female,Ontario,Above bachelor,"$125,000 and more",155
Female,Ontario,Above bachelor,"$25,000 to $49,999",39
Female,Ontario,Above bachelor,"$50,000 to $74,999",34
Female,Ontario,Above bachelor,"$75,000 to $99,999",51
Female,Ontario,Above bachelor,"Less than $25,000",25
Female,Ontario,Bachelor's degree,"$100,000 to $ 124,999",87
Female,Ontario,Bachelor's degree,"$125,000 and more",268
Female,Ontario,Bachelor's degree,"$25,000 to $49,999",65
Female,Ontario,Bachelor's degree,"$50,000 to $74,999",115
Female,Ontario,Bachelor's degree,"$75,000 to $99,999",89
Female,Ontario,Bachelor's degree,"Less than $25,000",44
Female,Ontario,Below bachelor,"$100,000 to $ 124,999",15
Female,Ontario,Below bachelor,"$125,000 and more",20
Female,Ontario,Below bachelor,"$25,000 to $49,999",16
Female,Ontario,Below bachelor,"$50,000 to $74,999",14
Female,Ontario,Below bachelor,"$75,000 to $99,999",14
Female,Ontario,Below bachelor,"Less than $25,000",10
Female,Ontario,Below high school,"$100,000 to $ 124,999",12
Female,Ontario,Below high school,"$125,000 and more",46
Female,Ontario,Below high school,"$25,000 to $49,999",108
Female,Ontario,Below high school,"$50,000 to $74,999",65
Female,Ontario,Below high school,"$75,000 to $99,999",28
Female,Ontario,Below high school,"Less than $25,000",96
Female,Ontario,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",54
Female,Ontario,High school diploma or a high school equivalency certificate,"$125,000 and more",109
Female,Ontario,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",180
Female,Ontario,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",126
Female,Ontario,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",93
Female,Ontario,High school diploma or a high school equivalency certificate,"Less than $25,000",125
Female,Ontario,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",101
Female,Ontario,"Technical, community college, CEGEP, College Classique","$125,000 and more",179
Female,Ontario,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",201
Female,Ontario,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",172
Female,Ontario,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",138
Female,Ontario,"Technical, community college, CEGEP, College Classique","Less than $25,000",105
Female,Prince Edward Island,Above bachelor,"$100,000 to $ 124,999",5
Female,Prince Edward Island,Above bachelor,"$125,000 and more",8
